user_id,anime_id,score
137,387,3
105,7647,4
150,8311,6
62,56165,7
217,43299,5
118,28999,0
165,36106,7
5,589,9
164,6547,3
195,55684,4
92,33206,7
4,44406,6
157,53446,1
8,23623,5
242,4981,5
244,3545,5
50,6802,4
148,60564,4
44,49521,0
91,51462,5
128,7303,6
98,58725,8
59,1861,3
139,21435,4
86,53410,5
112,23385,2
247,29093,0
235,9735,5
205,40044,2
237,3014,2
77,572,5
86,6007,8
149,31478,5
181,2508,5
167,6211,9
38,50739,4
96,875,5
214,6438,4
43,462,2
70,21843,3
89,40389,4
170,709,4
192,12021,3
180,6351,2
231,52034,5
138,53273,6
174,801,5
225,37932,5
83,20371,4
160,36098,1
85,22789,3
33,1092,5
74,3841,6
189,1000,2
26,245,7
108,8937,6
22,32828,8
109,53129,6
118,30831,3
12,3931,3
137,52742,7
232,10937,1
43,33064,5
215,40046,1
117,97,5
140,10153,5
37,7647,7
218,129,5
26,15809,7
12,49430,4
96,59095,3
101,50114,4
216,523,3
13,444,5
234,42290,5
183,49613,7
44,55315,0
206,56196,5
227,49722,1
122,59969,6
85,29893,2
160,28771,7
164,39547,1
198,36653,3
16,23249,2
224,9471,3
58,12021,3
142,2313,5
26,48585,8
122,55357,7
113,29893,4
177,32828,6
226,50586,3
100,31812,2
151,48849,2
124,41674,4
13,21419,5
48,1642,1
28,57487,7
13,35798,7
34,2761,5
190,240,6
242,53126,9
122,4981,7
223,53393,8
95,38086,0
132,33051,3
172,35843,4
197,40174,7
246,47410,8
145,12431,4
78,54724,4
175,32979,4
183,7062,2
237,97,2
208,16067,5
133,60108,6
155,39681,8
241,38084,0
4,21557,6
161,56785,2
112,25517,3
66,25341,6
125,16904,5
143,777,2
75,10090,4
237,32615,3
208,6336,8
66,39792,4
143,40331,1
114,29787,5
126,2159,7
13,41457,1
231,5114,4
207,23293,6
115,54650,0
11,51769,4
182,2752,0
214,31741,6
52,6984,1
244,39014,4
226,851,6
98,33323,3
220,12113,6
30,4039,3
178,57217,7
212,33323,6
108,3466,5
69,31051,7
156,2246,4
122,32182,6
223,40215,6
200,48548,4
136,59306,5
198,50528,5
14,1719,3
207,6347,3
225,34544,4
227,48405,0
75,39959,4
184,8063,7
15,12113,3
179,28675,5
178,21867,5
34,36561,6
218,15487,3
148,1142,4
88,53111,2
83,9963,3
214,45576,8
220,53111,2
73,5348,3
78,8516,6
5,38027,4
56,37105,4
83,33253,5
152,26055,4
167,26123,6
242,29755,4
104,34544,5
120,9074,7
49,49073,3
231,54846,5
199,2762,6
126,338,0
53,7724,3
122,7338,9
190,1889,4
126,16067,3
150,17265,6
61,52211,3
144,48316,5
219,23293,4
202,25303,8
174,13667,7
36,2405,4
39,41361,4
73,1729,6
130,34547,6
167,42897,5
47,3701,8
185,38040,4
68,7588,2
223,1689,7
69,2418,4
93,35110,8
198,48549,3
135,820,6
161,407,2
134,35839,5
129,1566,4
51,24893,5
163,6467,3
26,39741,10
215,41061,4
183,2829,3
46,32188,3
112,96,3
190,3515,6
93,4872,5
233,2034,4
225,54285,3
202,60022,8
197,36474,4
126,72,2
108,16395,2
65,49738,8
211,40853,4
111,28735,5
82,27947,3
64,8532,8
205,30952,5
58,10715,2
119,4081,8
73,55651,3
131,96,6
186,597,8
1,14735,7
84,10153,3
133,34451,3
54,48702,8
18,2104,7
100,8426,2
175,38422,5
167,617,5
113,51122,1
67,3588,2
72,849,3
66,46102,3
169,3588,5
28,4280,4
232,40392,3
224,56784,5
99,48583,7
31,51009,2
132,1142,5
77,34612,4
83,51116,3
35,31783,6
35,25341,9
58,740,8
14,254,2
142,13759,6
200,56704,4
206,781,4
66,37379,6
120,40429,3
229,40111,6
41,34504,2
123,56980,6
155,55888,3
11,37430,4
176,48569,4
49,853,5
128,51358,4
5,852,5
234,11843,5
9,52211,2
105,54764,5
136,37924,7
217,57524,2
103,48438,4
208,22097,7
179,59654,5
9,1483,4
92,9253,6
195,37520,4
165,4447,5
172,50403,7
175,30952,5
88,32615,2
66,2605,6
72,55528,4
196,150,4
194,38088,5
201,32937,3
222,1650,6
95,31251,2
176,569,5
27,22101,2
28,4886,2
106,42249,7
162,27775,5
51,3371,7
250,31783,3
104,5712,7
24,18661,3
179,5258,4
2,37501,8
32,223,5
126,14713,1
241,20517,3
202,9863,2
63,49759,8
153,34021,4
91,552,4
134,50410,5
22,25341,2
120,10863,4
246,6956,3
169,32547,3
46,6594,6
8,53393,4
222,45558,3
179,20431,4
88,567,7
120,38373,5
244,427,6
239,34591,5
40,721,1
53,51805,5
158,52742,4
124,25517,3
90,31812,4
71,33845,7
15,21405,7
161,30727,3
137,11737,6
47,60544,4
186,58567,6
9,8525,3
3,28479,6
79,35424,2
6,2499,4
162,39198,5
66,36538,4
107,32729,5
96,14941,3
105,21667,5
50,11237,4
206,36474,4
204,4155,6
238,36904,3
141,51335,7
220,59953,2
176,6984,6
233,208,6
93,40080,5
175,10218,6
85,5081,1
105,10119,5
113,42940,2
125,39547,8
101,1486,5
116,50250,7
65,6336,7
154,31552,5
64,38731,2
86,33502,5
131,1279,10
2,54764,1
2,17265,3
47,42894,7
54,55748,8
145,42894,7
40,42897,5
5,3515,7
44,31764,1
41,1915,5
105,31483,0
152,54829,6
155,371,6
232,59177,2
103,32122,3
59,1279,3
232,51009,3
103,38249,3
147,4472,7
9,59675,0
164,31933,0
238,721,8
54,48895,4
207,531,5
17,267,6
186,56055,8
225,55315,0
45,1089,3
82,53621,4
100,27831,4
167,513,6
119,41694,3
199,32122,4
189,42423,4
147,2025,3
221,29830,3
152,49759,6
71,48375,4
95,39477,7
108,35466,1
82,54650,7
146,53393,1
54,54791,6
177,8675,4
229,49220,3
76,52701,4
219,40776,4
244,45649,2
13,28891,3
76,13117,7
129,267,6
67,53865,2
175,33502,5
82,42429,1
92,14713,4
94,48736,6
171,6624,4
1,2448,2
63,60988,5
160,569,3
53,34612,2
180,31376,6
40,58535,1
221,40059,2
167,6772,7
74,40664,5
69,36275,5
23,40024,6
129,440,5
179,55973,3
246,31251,7
121,33034,4
202,37514,5
119,2594,4
208,37407,6
169,821,3
197,50586,3
223,1566,5
226,290,4
204,50346,4
116,37514,2
158,24405,5
139,13117,4
69,45558,3
185,40429,8
92,35222,7
166,9617,4
212,6351,3
70,31478,3
27,29854,2
88,61952,2
180,58567,6
247,49709,4
94,2451,5
145,25729,6
4,40111,5
228,9510,6
249,61595,5
98,14813,5
127,39619,0
120,10161,5
33,59145,5
170,16870,3
125,9441,6
70,1482,6
172,30370,2
93,9253,3
205,40397,0
246,59459,4
168,6956,3
83,49828,5
207,245,2
88,4472,4
216,18115,8
198,50410,3
101,39486,4
144,53065,4
9,11597,5
178,41120,4
56,30413,4
92,23385,9
238,55115,4
150,53447,7
230,37029,3
18,46431,9
178,49469,6
188,21667,2
57,49858,4
105,20651,4
162,18055,3
130,28675,3
221,13331,1
42,1212,7
196,40082,5
147,39651,6
77,30727,6
53,3750,1
227,53499,7
170,31251,6
236,2251,5
75,33095,3
59,56243,3
202,57555,5
160,986,5
126,35760,2
145,304,4
234,160,4
100,53888,4
76,32005,7
56,11771,5
84,6594,4
34,49926,3
2,33206,1
116,48438,3
152,29787,5
152,39014,5
244,10379,7
119,532,6
161,6624,4
71,29755,4
203,2593,1
224,42250,0
210,340,3
244,23623,5
226,57663,0
62,43523,8
66,1910,4
123,33263,2
246,41409,6
176,781,5
193,41780,8
91,199,7
48,9645,7
216,164,5
143,13759,3
76,56609,6
2,7785,2
2,47778,3
175,820,3
23,39921,0
44,48438,5
111,59459,4
18,55151,7
231,36106,3
231,40906,4
131,52299,7
66,59228,4
146,2076,2
12,48849,5
16,54722,1
203,6702,2
203,58535,1
205,18671,0
158,59497,4
115,56768,1
109,44235,6
118,28669,4
209,35120,5
79,372,1
102,6624,3
233,49858,1
180,39355,5
71,15989,8
23,7305,4
152,24833,4
28,33191,2
51,40716,5
172,48171,0
177,54650,8
199,40024,3
123,33520,6
75,3091,1
237,2471,7
56,58883,0
54,1472,1
171,2158,5
115,7465,1
151,17074,6
167,6024,2
141,51836,5
153,40331,2
25,9441,8
10,31758,4
21,329,6
204,55528,4
101,8190,8
128,488,7
122,50265,5
43,22673,0
75,21939,2
116,28957,2
36,49571,6
174,9790,7
238,32615,2
240,34096,3
108,558,5
43,32268,6
233,4224,6
227,57487,3
144,10012,3
149,21995,3
48,263,3
147,50250,9
196,35857,6
63,55740,6
80,29854,6
50,40372,6
92,58939,6
107,40936,5
213,93,5
214,38003,4
17,1453,8
70,6033,6
15,38201,8
42,55528,6
81,59986,3
53,585,2
39,10863,3
48,740,2
38,31733,4
207,1301,4
239,4565,8
242,245,3
81,45649,6
107,569,5
6,31772,5
13,37965,2
211,30123,3
245,40615,1
240,40059,4
55,50586,4
250,1473,5
41,6050,3
133,37779,5
227,18119,4
171,46654,4
238,6594,3
227,48849,2
243,41084,5
156,36593,4
153,46569,2
77,19613,6
133,20057,6
149,13125,6
185,2961,5
149,31376,6
30,4981,1
222,42249,3
133,59897,8
179,8408,3
207,24151,4
118,9289,4
40,46654,5
172,48780,7
225,1087,2
100,39592,5
35,851,7
228,56662,5
231,3016,4
243,59662,3
92,49053,6
179,4898,5
79,48580,5
17,302,6
41,5781,3
153,33446,4
5,2012,6
221,34437,2
75,37515,2
81,813,5
150,20899,5
109,3016,2
55,20847,2
168,759,2
43,37430,3
91,37807,3
96,51716,3
135,39538,2
123,22145,3
140,24913,4
60,1946,5
52,60326,4
166,34504,5
239,60022,4
203,54714,4
62,21877,4
161,53580,3
205,16395,0
67,6956,4
94,56784,4
192,49721,3
238,53065,6
52,48553,2
188,9204,5
126,61784,2
172,1281,3
71,14397,4
85,7303,4
89,28121,6
19,5310,8
58,2685,7
234,5258,5
6,23847,5
30,40956,3
124,38578,8
24,6152,4
224,49114,4
240,22097,6
15,35839,4
178,39555,7
163,20431,6
128,52999,1
97,40351,3
236,18617,8
155,1363,3
151,50444,1
245,34855,4
241,9996,5
44,1594,7
67,12431,6
215,10030,5
205,1483,4
38,4280,6
205,136,2
47,36369,6
235,24415,3
101,268,7
201,4106,3
96,949,3
247,28249,4
82,57,9
57,53874,2
67,1483,5
224,42897,7
125,12477,6
51,10350,3
19,12859,4
